year,rcp,global_ce_dmg,global_dmg,global_dmg_old,gdp,pct_gdp_ce,pct_gdp,pct_gdp_old
2020,rcp45,25363811048.10642,24713603732.3622,24713603732.36404,100994106465608.08,2.511414966252873e-4,2.447034247565527e-4,2.4470342475657093e-4
2020,rcp85,-13940483993.510702,-14576922007.373156,-14576922007.368689,100994106465608.08,-1.380326484521937e-4,-1.4433438264377428e-4,-1.4433438264373007e-4
2021,rcp45,14640762190.250963,14058372604.009054,14058372604.01118,103799176858349.25,1.4104892382943123e-4,1.3543818968038616e-4,1.3543818968040665e-4
2021,rcp85,-3503865412.1078753,-4192411242.911315,-4192411242.9073052,103799176858349.25,-3.375619651482849e-5,-4.038963862529023e-5,-4.03896386252516e-5
2022,rcp45,12731786841.027885,12107175053.017872,12107175053.020172,106707087728027.7,1.1931528741069514e-4,1.1346177007357121e-4,1.1346177007359277e-4
2022,rcp85,36402252426.17504,35733239317.94853,35733239317.9529,106707087728027.7,3.4114184166431544e-4,3.3487221963197515e-4,3.3487221963201613e-4
2023,rcp45,37700957378.619034,37052700327.53227,37052700327.53416,112434344257442.89,3.3531531337341634e-4,3.2954966360360544e-4,3.295496636036222e-4
2023,rcp85,28691669813.570892,27965524662.31471,27965524662.31923,112434344257442.89,2.551859932395307e-4,2.4872760051218476e-4,2.48727600512225e-4
2024,rcp45,18025111075.019154,17358678597.419994,17358678597.42209,115644018854856.05,1.5586721434890927e-4,1.5010442190881263e-4,1.5010442190883073e-4
2024,rcp85,7771991122.929263,6971923340.497003,6971923340.501676,115644018854856.05,6.720616595557641e-5,6.02877987943969e-5,6.028779879443731e-5
2025,rcp45,40028938369.41454,39188200903.00924,39188200903.01145,118973428398991.81,3.3645276015054933e-4,3.2938616151824136e-4,3.2938616151825996e-4
2025,rcp85,28843836298.77648,28001155162.301723,28001155162.306038,118973428398991.81,2.4243931344102466e-4,2.353563777988851e-4,2.3535637779892137e-4
2026,rcp45,47960804675.03567,47129556116.88095,47129556116.88247,121475440788598.42,3.9481893923316576e-4,3.879760041282722e-4,3.8797600412828474e-4
2026,rcp85,46455149922.15027,45620097642.96608,45620097642.97076,121475440788598.42,3.824242136564489e-4,3.755499658762954e-4,3.755499658763339e-4
2027,rcp45,48356197050.36601,47416573809.57509,47416573809.5775,124041490124644.77,3.898388918238134e-4,3.8226381964557107e-4,3.822638196455905e-4
2027,rcp85,48498246643.55568,47570403783.77153,47570403783.7765,124041490124644.77,3.9098406988517765e-4,3.8350396900238597e-4,3.83503969002426e-4
2028,rcp45,55801022877.24183,54791742590.333214,54791742590.33564,129146831754657.95,4.3207426863748244e-4,4.242592856975528e-4,4.242592856975716e-4
2028,rcp85,33116243162.343826,32108316515.92,32108316515.92522,129146831754657.95,2.5642319453298877e-4,2.4861869299989194e-4,2.486186929999324e-4
2029,rcp45,47753569489.96398,46786393239.96979,46786393239.97194,131906367912333.9,3.6202626336964575e-4,3.546939695213534e-4,3.546939695213697e-4
2029,rcp85,16886277672.147373,15881891750.98259,15881891750.987988,131906367912333.9,1.2801715291994195e-4,1.2040276752626401e-4,1.2040276752630493e-4
2030,rcp45,69895757816.11269,68755850991.65778,68755850991.66026,134737245192185.92,5.187560255994182e-4,5.10295804946777e-4,5.102958049467954e-4
2030,rcp85,63154276951.99549,61932342285.16053,61932342285.165504,134737245192185.92,4.6872174699663606e-4,4.5965272777264923e-4,4.5965272777268615e-4
2031,rcp45,73829684728.69011,72696350452.81017,72696350452.81256,136833787915085.27,5.395574138056201e-4,5.312748522164952e-4,5.312748522165126e-4
2031,rcp85,50173446818.346695,48934659585.12653,48934659585.13213,136833787915085.27,3.666743980622882e-4,3.576211718665118e-4,3.5762117186655275e-4
2032,rcp45,82212922256.01128,80986656388.44145,80986656388.44412,138968303803280.86,5.915947738153967e-4,5.827707050600804e-4,5.827707050600997e-4
2032,rcp85,87508377784.8113,86104889940.24902,86104889940.25462,138968303803280.86,6.297002653834316e-4,6.196009275765242e-4,6.196009275765644e-4
2033,rcp45,103374189047.92159,102099410366.82289,102099410366.82489,143269446540460.56,7.215368771507594e-4,7.12639106468448e-4,7.126391064684619e-4
2033,rcp85,89038949018.04376,87849316932.24774,87849316932.25362,143269446540460.56,6.214789766281283e-4,6.131755168568919e-4,6.131755168569329e-4
2034,rcp45,92460308352.9838,91257718197.37874,91257718197.38121,145523467520900.78,6.353635597619622e-4,6.270996681979961e-4,6.270996681980131e-4
2034,rcp85,91305446711.58937,90064983262.39447,90064983262.40005,145523467520900.78,6.274276463242992e-4,6.189034991861976e-4,6.189034991862359e-4
2035,rcp45,76950454972.65376,75569008098.98616,75569008098.9897,147818679683911.62,5.20573280299898e-4,5.112277302204248e-4,5.112277302204487e-4
